id;attendance_date;check_in_time;check_out_time;comments;employee_id;status_id
1;2024-09-04;2024-09-04T12:22:34;2024-09-04T10:26:06;boldly a;1;1
2;2024-09-04;2024-09-05T01:14:48;2024-09-05T02:31:27;till;2;2
3;2024-09-05;2024-09-04T11:00:04;2024-09-04T05:14:46;clever before latter;3;3
4;2024-09-04;2024-09-04T12:07:21;2024-09-04T15:32:10;ack;4;4
5;2024-09-04;2024-09-04T18:43:08;2024-09-04T18:02:41;ah;5;5
6;2024-09-04;2024-09-04T10:49:15;2024-09-04T18:33:16;whether candid slowly;6;6
7;2024-09-05;2024-09-04T08:59:21;2024-09-04T11:32:18;when tug;7;7
8;2024-09-04;2024-09-04T14:19:13;2024-09-04T22:09:58;nix composite;8;8
9;2024-09-04;2024-09-04T06:28:51;2024-09-05T00:43:14;or absent;9;9
10;2024-09-05;2024-09-04T06:58:40;2024-09-05T04:02:56;separately fooey ew;10;10
