id;descripcion;model;plates;vehicle_type_id
1;regarding sole;hence lily;earnest;1
2;plagiarize crib;zowie disable;closely knowingly over;2
3;ick;hmph deceivingly heavenly;oof yowza duh;3
4;where;after fooey finally;bad talk malnutrition;4
5;meh overexpose;awkwardly;through;5
6;onto;delightfully crumple mountainous;what;6
7;pan joyously;extradite scheme disambiguate;ripe;7
8;anenst unknown;electric intensely honestly;briefly fortunately;8
9;eventually quirkily;selfishly;dreamily fiercely;9
10;or;yowza;owlishly tripod;10
