id;start_date;end_date;comments;vehicle_id;employee_id;status_id
1;2024-09-07T21:51:31;2024-09-08T12:45:47;ack a;1;1;1
2;2024-09-07T22:53:23;2024-09-08T17:55:35;befall agriculture hence;2;2;2
3;2024-09-08T15:06:01;2024-09-07T20:44:00;polite so;3;3;3
4;2024-09-08T10:32:14;2024-09-08T04:17:29;till;4;4;4
5;2024-09-08T04:32:23;2024-09-08T05:41:07;frozen instead blah;5;5;5
6;2024-09-08T03:47:59;2024-09-08T13:16:30;boo;6;6;6
7;2024-09-08T16:45:59;2024-09-08T16:33:24;pfft reassign;7;7;7
8;2024-09-08T09:54:16;2024-09-08T12:15:25;phew eek;8;8;8
9;2024-09-08T06:53:04;2024-09-08T02:57:19;eek oh meaningfully;9;9;9
10;2024-09-07T20:24:25;2024-09-08T01:42:06;circa;10;10;10
